bairro,area_quartos,enderecos_lista,aluguel
carlos-prates,"3,100 m² construídos","Carlos Prates, Belo Horizonte, Minas Gerais",165000.0
carlos-prates,"1,800 m² construídos","Carlos Prates, Belo Horizonte, Minas Gerais",35000.0
carlos-prates,"1,100 m² construídos","Avenida Dom Pedro Ii, Carlos Prates, Belo Horizonte, Minas Gerais",24000.0
carlos-prates,"1,300 m² construídos","Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",13000.0
carlos-prates,800 m² construídos,"Carlos Prates, Belo Horizonte, Minas Gerais",6500.0
carlos-prates,318 m² construídos4 quartos,"Rua Areado, Carlos Prates, Belo Horizonte, Minas Gerais",4500.0
carlos-prates,316 m² construídos4 quartos,"Rua Areado, Carlos Prates, Belo Horizonte, Minas Gerais",4500.0
carlos-prates,280 m² construídos3 quartos,"Carlos Prates, Belo Horizonte, Minas Gerais",3500.0
carlos-prates,535 m² construídos,"Av.carlos Luz  117, Carlos Prates, Belo Horizonte, Minas Gerais",3300.0
carlos-prates,250 m² construídos,"Rua Itambacuri 305, Carlos Prates, Belo Horizonte, Minas Gerais",2900.0
carlos-prates,120 m² construídos5 quartos,"Rua Rio Pomba, Carlos Prates, Belo Horizonte, Minas Gerais",2176.0
carlos-prates,80 m² totais3 quartos,"Carlos Prates, Belo Horizonte, Minas Gerais",1500.0
carlos-prates,125 m² construídos3 quartos,"Rua Espinosa, Carlos Prates, Belo Horizonte, Minas Gerais",1450.0
carlos-prates,90 m² totais,"Carlos Prates, Belo Horizonte, Minas Gerais",1400.0
carlos-prates,30 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1350.0
carlos-prates,30 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1350.0
carlos-prates,30 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1350.0
carlos-prates,30 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1347.0
carlos-prates,30 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1345.0
carlos-prates,30 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1300.0
carlos-prates,30 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1300.0
carlos-prates,30 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1300.0
carlos-prates,30 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1300.0
carlos-prates,30 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1300.0
carlos-prates,30 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1300.0
carlos-prates,30 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1300.0
carlos-prates,120 m² construídos3 quartos,"R. Entre Rios, 150 - Carlos Prates, Belo Horizonte - Mg, 30710-080, Brasil, Carlos Prates, Belo Horizonte, Minas Gerais",1300.0
carlos-prates,30 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1300.0
carlos-prates,30 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1300.0
carlos-prates,30 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1300.0
carlos-prates,29 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1300.0
carlos-prates,20 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1249.0
carlos-prates,68 m² construídos2 quartos,"Rua Entre Rios, Carlos Prates, Belo Horizonte, Minas Gerais",1200.0
carlos-prates,45 m² construídos2 quartos,"Carlos Prates, Belo Horizonte, Minas Gerais",1200.0
carlos-prates,45 m² construídos1 quarto,"Rua Entre Rios, Carlos Prates, Belo Horizonte, Minas Gerais",1200.0
carlos-prates,20 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1190.0
carlos-prates,20 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1190.0
carlos-prates,20 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1190.0
carlos-prates,20 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1190.0
carlos-prates,20 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1190.0
carlos-prates,20 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1190.0
carlos-prates,20 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1190.0
carlos-prates,20 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1190.0
carlos-prates,20 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1190.0
carlos-prates,18 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1190.0
carlos-prates,20 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1189.0
carlos-prates,20 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1189.0
carlos-prates,19 m² construídos1 quarto,"Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais",1188.0
