area (m²),número de quartos,aluguel,street,neighborhood,city,state
3100.0,-1.0,165000.0,,Carlos Prates, Belo Horizonte, Minas Gerais
1800.0,-1.0,35000.0,,Carlos Prates, Belo Horizonte, Minas Gerais
1100.0,-1.0,24000.0,Avenida Dom Pedro Ii, Carlos Prates, Belo Horizonte, Minas Gerais
1300.0,-1.0,13000.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
800.0,-1.0,6500.0,,Carlos Prates, Belo Horizonte, Minas Gerais
318.0,4.0,4500.0,Rua Areado, Carlos Prates, Belo Horizonte, Minas Gerais
316.0,4.0,4500.0,Rua Areado, Carlos Prates, Belo Horizonte, Minas Gerais
280.0,3.0,3500.0,,Carlos Prates, Belo Horizonte, Minas Gerais
535.0,-1.0,3300.0,Av.carlos Luz  117, Carlos Prates, Belo Horizonte, Minas Gerais
250.0,-1.0,2900.0,Rua Itambacuri 305, Carlos Prates, Belo Horizonte, Minas Gerais
120.0,5.0,2176.0,Rua Rio Pomba, Carlos Prates, Belo Horizonte, Minas Gerais
80.0,3.0,1500.0,,Carlos Prates, Belo Horizonte, Minas Gerais
90.0,-1.0,1400.0,,Carlos Prates, Belo Horizonte, Minas Gerais
30.0,1.0,1350.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
30.0,1.0,1350.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
30.0,1.0,1350.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
30.0,1.0,1347.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
30.0,1.0,1345.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
30.0,1.0,1300.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
30.0,1.0,1300.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
30.0,1.0,1300.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
30.0,1.0,1300.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
30.0,1.0,1300.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
30.0,1.0,1300.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
120.0,3.0,1300.0,,R. Entre Rios, 150 - Carlos Prates, Belo Horizonte - Mg
30.0,1.0,1300.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
30.0,1.0,1300.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
29.0,1.0,1300.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
30.0,1.0,1300.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
30.0,1.0,1300.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
20.0,1.0,1249.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
45.0,2.0,1200.0,,Carlos Prates, Belo Horizonte, Minas Gerais
45.0,1.0,1200.0,Rua Entre Rios, Carlos Prates, Belo Horizonte, Minas Gerais
68.0,2.0,1200.0,Rua Entre Rios, Carlos Prates, Belo Horizonte, Minas Gerais
20.0,1.0,1190.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
20.0,1.0,1190.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
20.0,1.0,1190.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
20.0,1.0,1190.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
18.0,1.0,1190.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
20.0,1.0,1190.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
20.0,1.0,1190.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
20.0,1.0,1190.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
20.0,1.0,1190.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
20.0,1.0,1190.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
20.0,1.0,1189.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
20.0,1.0,1189.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
19.0,1.0,1188.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
20.0,1.0,1188.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
