bairro,area_quartos,enderecos_lista,aluguel
lourdes,40 m² construídos1 quarto,"Rua Timbiras, Lourdes, Belo Horizonte, Minas Gerais",981
lourdes,80 m² construídos1 quarto,"Avenida Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais",950
lourdes,52 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",950
lourdes,50 m² construídos1 quarto,"Lourdes, Belo Horizonte, Minas Gerais",900
lourdes,200 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",9.000
lourdes,274 m² construídos6 quartos,"Lourdes, Belo Horizonte, Minas Gerais",9.000
lourdes,180 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",9.000
lourdes,274 m² construídos4 quartos,"Lourdes, Belo Horizonte, Minas Gerais",9.000
lourdes,274 m² construídos6 quartos,"Av. Bias Fortes, 762 - Lourdes, Belo Horizonte - Mg, 30170-011, Brasil, Lourdes, Belo Horizonte, Minas Gerais",9.000
lourdes,360 m² construídos5 quartos,"Avenida Bias Fortes, Lourdes, Belo Horizonte, Minas Gerais",9.000
lourdes,250 m² construídos4 quartos,"Lourdes, Belo Horizonte, Minas Gerais",9.000
lourdes,48 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",850
lourdes,52 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",850
lourdes,175 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",8.926
lourdes,300 m² construídos4 quartos,"Rua Curitiba, Lourdes, Belo Horizonte, Minas Gerais",8.500
lourdes,188 m² construídos,"Avenida Bias Fortes, Lourdes, Belo Horizonte, Minas Gerais",8.461
lourdes,160 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",8.000
lourdes,300 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",8.000
lourdes,320 m² construídos4 quartos,"Lourdes, Belo Horizonte, Minas Gerais",8.000
lourdes,250 m² construídos4 quartos,"Lourdes, Belo Horizonte, Minas Gerais",8.000
lourdes,184 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",8.000
lourdes,300 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",8.000
lourdes,188 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",8.000
lourdes,40 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",790
lourdes,16 m² construídos1 quarto,"Rua Dos Timbiras, Lourdes, Belo Horizonte, Minas Gerais",700
lourdes,167 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",7.990
lourdes,280 m² construídos4 quartos,"Lourdes, Belo Horizonte, Minas Gerais",7.950
lourdes,204 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",7.900
lourdes,205 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",7.900
lourdes,200 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",7.500
lourdes,171 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",7.500
lourdes,170 m² totais,"Lourdes, Belo Horizonte, Minas Gerais",7.500
lourdes,171 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",7.500
lourdes,205 m² construídos,"Avenida Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais",7.200
lourdes,205 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",7.200
lourdes,202 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",7.000
lourdes,131 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",7.000
lourdes,90 m² construídos2 quartos,"Rua Rio De Janeiro, Lourdes, Belo Horizonte, Minas Gerais",7.000
lourdes,42 m² totais,"Lourdes - Belo Horizonte/mg, Lourdes, Belo Horizonte, Minas Gerais",690
lourdes,"1,900 m² construídos","Lourdes, Belo Horizonte, Minas Gerais",68.000
lourdes,35 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",600
lourdes,270 m² construídos4 quartos,"Rua Sebastião Fabiano Dias, Belo Horizonte - Mg, Brasil, Lourdes, Belo Horizonte, Minas Gerais",6.900
lourdes,174 m² construídos4 quartos,"Lourdes - Belo Horizonte/mg, Lourdes, Belo Horizonte, Minas Gerais",6.800
lourdes,168 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",6.500
lourdes,160 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",6.500
lourdes,280 m² construídos4 quartos,"Lourdes, Belo Horizonte, Minas Gerais",6.500
lourdes,200 m² construídos4 quartos,"Rua Antônio Aleixo, Lourdes, Belo Horizonte, Minas Gerais",6.500
lourdes,180 m² construídos4 quartos,"Rua Rio De Janeiro, Lourdes, Belo Horizonte, Minas Gerais",6.150
lourdes,116 m² construídos4 quartos,"R. Alvarenga Peixoto, 414 - Lourdes, Belo Horizonte - Mg, 30180-120, Brasil, Lourdes, Belo Horizonte, Minas Gerais",6.000
